organism_full,year,month,region,Resistant_Drug_Classes,pattern_count,total_rows_in_region_month,percentage
Staphylococcus aureus,2020,1,13.0,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",4,17,23.53
Staphylococcus aureus,2020,1,13.0,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",3,17,17.65
Staphylococcus aureus,2020,1,13.0,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,17,11.76
Staphylococcus aureus,2020,2,13.0,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",5,13,38.46
Staphylococcus aureus,2020,3,13.0,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",5,12,41.67
Staphylococcus aureus,2020,3,13.0,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,12,8.33
Staphylococcus aureus,2020,3,13.0,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,12,8.33
Staphylococcus aureus,2020,4,13.0,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",4,15,26.67
Staphylococcus aureus,2020,4,13.0,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",3,15,20.0
Staphylococcus aureus,2020,4,13.0,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,15,6.67
Staphylococcus aureus,2020,5,13.0,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",6,15,40.0
Staphylococcus aureus,2020,5,13.0,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",2,15,13.33
Staphylococcus aureus,2020,5,13.0,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,15,6.67
Staphylococcus aureus,2020,6,13.0,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",3,10,30.0
Staphylococcus aureus,2020,6,13.0,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,10,20.0
Staphylococcus aureus,2020,7,13.0,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",9,19,47.37
Staphylococcus aureus,2020,7,13.0,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",2,19,10.53
Staphylococcus aureus,2020,7,13.0,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,19,5.26
Staphylococcus aureus,2020,8,13.0,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",5,9,55.56
Staphylococcus aureus,2020,9,13.0,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",3,8,37.5
Staphylococcus aureus,2020,10,13.0,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",5,11,45.45
Staphylococcus aureus,2020,10,13.0,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,11,9.09
Staphylococcus aureus,2020,11,13.0,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,4,25.0
Staphylococcus aureus,2020,12,13.0,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",7,13,53.85
Staphylococcus aureus,2020,12,13.0,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,13,7.69
Staphylococcus aureus,2020,12,13.0,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,13,7.69
Staphylococcus aureus,2021,1,13.0,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",5,6,83.33
Staphylococcus aureus,2021,2,13.0,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",5,8,62.5
Staphylococcus aureus,2021,3,13.0,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",3,8,37.5
Staphylococcus aureus,2021,4,13.0,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",4,8,50.0
Staphylococcus aureus,2021,4,13.0,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,8,12.5
Staphylococcus aureus,2021,5,13.0,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",3,4,75.0
Staphylococcus aureus,2021,6,13.0,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",3,5,60.0
Staphylococcus aureus,2021,6,13.0,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,5,20.0
Staphylococcus aureus,2021,7,13.0,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",3,7,42.86
