"Pathogen","MDR_Pattern","region_id","Year","Predicted_Percent","pct_change","label_text"
"Acinetobacter baumannii","AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, Β-LACTAM COMBINATION AGENTS",1,"2025 Prediction",72.4880098825827,0,"+0.00%"
"Acinetobacter baumannii","AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, Β-LACTAM COMBINATION AGENTS",1,"2026 Prediction",66.0021273406758,-6.48588254190688,"-6.49%"
"Acinetobacter baumannii","AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, Β-LACTAM COMBINATION AGENTS",1,"2027 Prediction",61.4257398853224,-11.0622699972603,"-11.06%"
"Acinetobacter baumannii","AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, Β-LACTAM COMBINATION AGENTS",2,"2025 Prediction",74.3075025124481,0,"+0.00%"
"Acinetobacter baumannii","AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, Β-LACTAM COMBINATION AGENTS",2,"2026 Prediction",67.1518935579282,-7.15560895451988,"-7.16%"
"Acinetobacter baumannii","AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, Β-LACTAM COMBINATION AGENTS",2,"2027 Prediction",62.168459283344,-12.1390432291041,"-12.14%"
"Acinetobacter baumannii","AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, Β-LACTAM COMBINATION AGENTS",3,"2025 Prediction",73.3237399307055,0,"+0.00%"
"Acinetobacter baumannii","AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, Β-LACTAM COMBINATION AGENTS",3,"2026 Prediction",66.5270334150345,-6.79670651567104,"-6.80%"
"Acinetobacter baumannii","AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, Β-LACTAM COMBINATION AGENTS",3,"2027 Prediction",61.7641326623068,-11.5596072683987,"-11.56%"
"Acinetobacter baumannii","AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, Β-LACTAM COMBINATION AGENTS",4,"2025 Prediction",74.0081253829493,0,"+0.00%"
"Acinetobacter baumannii","AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, Β-LACTAM COMBINATION AGENTS",4,"2026 Prediction",66.960743353036,-7.04738202991335,"-7.05%"
"Acinetobacter baumannii","AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, Β-LACTAM COMBINATION AGENTS",4,"2027 Prediction",62.0445589605807,-11.9635664223687,"-11.96%"
