"Pathogen","MDR_Pattern","region_id","Year","Predicted_Percent","pct_change","label_text"
"Escherichia coli","AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",1,"2025 Prediction",5.99653051329383,0,"+0.00%"
"Escherichia coli","AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",1,"2026 Prediction",6.60216612702216,0.605635613728329,"+0.61%"
"Escherichia coli","AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",1,"2027 Prediction",7.57870678157697,1.58217626828315,"+1.58%"
"Escherichia coli","AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",2,"2025 Prediction",6.6505894771994,0,"+0.00%"
"Escherichia coli","AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",2,"2026 Prediction",7.31582988995188,0.665240412752481,"+0.67%"
"Escherichia coli","AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",2,"2027 Prediction",8.37893030847524,1.72834083127584,"+1.73%"
"Escherichia coli","AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",3,"2025 Prediction",6.15287985549462,0,"+0.00%"
"Escherichia coli","AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",3,"2026 Prediction",6.77280609029121,0.61992623479659,"+0.62%"
"Escherichia coli","AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",3,"2027 Prediction",7.77025981474193,1.61737995924731,"+1.62%"
"Escherichia coli","AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",4,"2025 Prediction",6.2208620141253,0,"+0.00%"
"Escherichia coli","AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",4,"2026 Prediction",6.84706008742748,0.626198073302175,"+0.63%"
"Escherichia coli","AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",4,"2027 Prediction",7.85366449170277,1.63280247757746,"+1.63%"
