"Pathogen","MDR_Pattern","region_id","Year","Predicted_Percent","pct_change","label_text"
"Klebsiella pneumoniae","AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",1,"2025 Prediction",26.0150191986665,0,"+0.00%"
"Klebsiella pneumoniae","AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",1,"2026 Prediction",37.7969222039353,11.7819030052688,"+11.78%"
"Klebsiella pneumoniae","AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",1,"2027 Prediction",48.887541255677,22.8725220570105,"+22.87%"
"Klebsiella pneumoniae","AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",2,"2025 Prediction",28.6387089146345,0,"+0.00%"
"Klebsiella pneumoniae","AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",2,"2026 Prediction",40.6870981738151,12.0483892591806,"+12.05%"
"Klebsiella pneumoniae","AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",2,"2027 Prediction",50.8265497548979,22.1878408402634,"+22.19%"
"Klebsiella pneumoniae","AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",3,"2025 Prediction",28.8258820390472,0,"+0.00%"
"Klebsiella pneumoniae","AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",3,"2026 Prediction",40.8895781390996,12.0636961000525,"+12.06%"
"Klebsiella pneumoniae","AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",3,"2027 Prediction",50.960665091209,22.1347830521618,"+22.13%"
"Klebsiella pneumoniae","AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",4,"2025 Prediction",26.7138240904164,0,"+0.00%"
"Klebsiella pneumoniae","AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",4,"2026 Prediction",38.5748472722637,11.8610231818473,"+11.86%"
"Klebsiella pneumoniae","AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",4,"2027 Prediction",49.4136191684425,22.6997950780261,"+22.70%"
"Klebsiella pneumoniae","AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",5,"2025 Prediction",26.411025847759,0,"+0.00%"
"Klebsiella pneumoniae","AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",5,"2026 Prediction",38.2386367766326,11.8276109288736,"+11.83%"
"Klebsiella pneumoniae","AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",5,"2027 Prediction",49.1867460897287,22.7757202419698,"+22.78%"
"Klebsiella pneumoniae","AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",6,"2025 Prediction",27.6730090005106,0,"+0.00%"
"Klebsiella pneumoniae","AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",6,"2026 Prediction",39.6328831463999,11.9598741458894,"+11.96%"
"Klebsiella pneumoniae","AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",6,"2027 Prediction",50.1240957851951,22.4510867846845,"+22.45%"
"Klebsiella pneumoniae","AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",7,"2025 Prediction",28.9684199909976,0,"+0.00%"
