organism_full,year,month,region,Resistant_Drug_Classes,pattern_count,total_rows_in_region_month,percentage,y_beta,month_numeric,sin_month,cos_month,season,season_id,region_id,year_month,time_id,mdr_id_numeric
Acinetobacter baumannii,2015,1,1.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",45,72,62.5,0.625,1.0,0.49999999999999994,0.8660254037844387,winter,3,1,201501,1,1
Acinetobacter baumannii,2015,1,1.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",13,72,18.06,0.18059999999999998,1.0,0.49999999999999994,0.8660254037844387,winter,3,1,201501,1,2
Acinetobacter baumannii,2015,1,1.0,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",5,72,6.94,0.0694,1.0,0.49999999999999994,0.8660254037844387,winter,3,1,201501,1,4
Acinetobacter baumannii,2015,1,1.0,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",1,72,1.39,0.0139,1.0,0.49999999999999994,0.8660254037844387,winter,3,1,201501,1,3
Acinetobacter baumannii,2015,1,1.0,"CARBAPENEMS, CEPHEMS, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",1,72,1.39,0.0139,1.0,0.49999999999999994,0.8660254037844387,winter,3,1,201501,1,5
Acinetobacter baumannii,2015,1,11.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",16,22,72.73,0.7273000000000001,1.0,0.49999999999999994,0.8660254037844387,winter,3,11,201501,1,1
Acinetobacter baumannii,2015,1,11.0,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",6,22,27.27,0.2727,1.0,0.49999999999999994,0.8660254037844387,winter,3,11,201501,1,3
Acinetobacter baumannii,2015,1,12.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",15,19,78.95,0.7895,1.0,0.49999999999999994,0.8660254037844387,winter,3,12,201501,1,1
Acinetobacter baumannii,2015,1,12.0,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",2,19,10.53,0.10529999999999999,1.0,0.49999999999999994,0.8660254037844387,winter,3,12,201501,1,3
Acinetobacter baumannii,2015,1,12.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,19,5.26,0.0526,1.0,0.49999999999999994,0.8660254037844387,winter,3,12,201501,1,2
