organism_full,year,month,region,Resistant_Drug_Classes,pattern_count,total_rows_in_region_month,percentage,y_beta,month_numeric,sin_month,cos_month,season,season_id,region_id,year_month,time_id,mdr_id_numeric
Escherichia coli,2015,1,1.0,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",27,119,22.69,0.22690000000000002,1.0,0.49999999999999994,0.8660254037844387,winter,3,1,201501,1,4
Escherichia coli,2015,1,1.0,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",16,119,13.45,0.13449999999999998,1.0,0.49999999999999994,0.8660254037844387,winter,3,1,201501,1,3
Escherichia coli,2015,1,1.0,"AMINOGLYCOSIDES, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",7,119,5.88,0.0588,1.0,0.49999999999999994,0.8660254037844387,winter,3,1,201501,1,5
Escherichia coli,2015,1,1.0,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",3,119,2.52,0.0252,1.0,0.49999999999999994,0.8660254037844387,winter,3,1,201501,1,2
Escherichia coli,2015,1,1.0,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",1,119,0.84,0.0084,1.0,0.49999999999999994,0.8660254037844387,winter,3,1,201501,1,1
Escherichia coli,2015,1,11.0,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",3,19,15.79,0.15789999999999998,1.0,0.49999999999999994,0.8660254037844387,winter,3,11,201501,1,4
Escherichia coli,2015,1,11.0,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",2,19,10.53,0.10529999999999999,1.0,0.49999999999999994,0.8660254037844387,winter,3,11,201501,1,1
Escherichia coli,2015,1,11.0,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",1,19,5.26,0.0526,1.0,0.49999999999999994,0.8660254037844387,winter,3,11,201501,1,2
Escherichia coli,2015,1,11.0,"AMINOGLYCOSIDES, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",1,19,5.26,0.0526,1.0,0.49999999999999994,0.8660254037844387,winter,3,11,201501,1,5
Escherichia coli,2015,1,11.0,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",1,19,5.26,0.0526,1.0,0.49999999999999994,0.8660254037844387,winter,3,11,201501,1,3
