organism_full,year,month,region,Resistant_Drug_Classes,pattern_count,total_rows_in_region_month,percentage,y_beta,month_numeric,sin_month,cos_month,season,season_id,region_id,year_month,time_id,mdr_id_numeric
Klebsiella pneumoniae ,2015,1,1.0,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",21,34,61.76,0.6175999999999999,1.0,0.49999999999999994,0.8660254037844387,winter,3,1,201501,1,2
Klebsiella pneumoniae ,2015,1,1.0,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",6,34,17.65,0.1765,1.0,0.49999999999999994,0.8660254037844387,winter,3,1,201501,1,3
Klebsiella pneumoniae ,2015,1,1.0,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",1,34,2.94,0.0294,1.0,0.49999999999999994,0.8660254037844387,winter,3,1,201501,1,4
Klebsiella pneumoniae ,2015,1,11.0,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",2,4,50.0,0.5,1.0,0.49999999999999994,0.8660254037844387,winter,3,11,201501,1,3
Klebsiella pneumoniae ,2015,1,12.0,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",5,16,31.25,0.3125,1.0,0.49999999999999994,0.8660254037844387,winter,3,12,201501,1,3
Klebsiella pneumoniae ,2015,1,12.0,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",3,16,18.75,0.1875,1.0,0.49999999999999994,0.8660254037844387,winter,3,12,201501,1,2
Klebsiella pneumoniae ,2015,1,12.0,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",2,16,12.5,0.125,1.0,0.49999999999999994,0.8660254037844387,winter,3,12,201501,1,4
Klebsiella pneumoniae ,2015,1,12.0,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",1,16,6.25,0.0625,1.0,0.49999999999999994,0.8660254037844387,winter,3,12,201501,1,5
Klebsiella pneumoniae ,2015,1,13.0,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",7,40,17.5,0.175,1.0,0.49999999999999994,0.8660254037844387,winter,3,13,201501,1,2
Klebsiella pneumoniae ,2015,1,13.0,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",5,40,12.5,0.125,1.0,0.49999999999999994,0.8660254037844387,winter,3,13,201501,1,3
Klebsiella pneumoniae ,2015,1,13.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",4,40,10.0,0.1,1.0,0.49999999999999994,0.8660254037844387,winter,3,13,201501,1,1
Klebsiella pneumoniae ,2015,1,13.0,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",2,40,5.0,0.05,1.0,0.49999999999999994,0.8660254037844387,winter,3,13,201501,1,4
Klebsiella pneumoniae ,2015,1,13.0,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",2,40,5.0,0.05,1.0,0.49999999999999994,0.8660254037844387,winter,3,13,201501,1,5
Klebsiella pneumoniae ,2015,1,2.0,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",7,17,41.18,0.4118,1.0,0.49999999999999994,0.8660254037844387,winter,3,2,201501,1,3
Klebsiella pneumoniae ,2015,1,2.0,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",4,17,23.53,0.2353,1.0,0.49999999999999994,0.8660254037844387,winter,3,2,201501,1,2
Klebsiella pneumoniae ,2015,1,2.0,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",1,17,5.88,0.0588,1.0,0.49999999999999994,0.8660254037844387,winter,3,2,201501,1,5
Klebsiella pneumoniae ,2015,1,3.0,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",2,6,33.33,0.3333,1.0,0.49999999999999994,0.8660254037844387,winter,3,3,201501,1,2
Klebsiella pneumoniae ,2015,1,3.0,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",1,6,16.67,0.16670000000000001,1.0,0.49999999999999994,0.8660254037844387,winter,3,3,201501,1,3
Klebsiella pneumoniae ,2015,1,4.0,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",19,108,17.59,0.1759,1.0,0.49999999999999994,0.8660254037844387,winter,3,4,201501,1,3
Klebsiella pneumoniae ,2015,1,4.0,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",17,108,15.74,0.1574,1.0,0.49999999999999994,0.8660254037844387,winter,3,4,201501,1,2
Klebsiella pneumoniae ,2015,1,4.0,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",8,108,7.41,0.0741,1.0,0.49999999999999994,0.8660254037844387,winter,3,4,201501,1,5
Klebsiella pneumoniae ,2015,1,4.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",2,108,1.85,0.018500000000000003,1.0,0.49999999999999994,0.8660254037844387,winter,3,4,201501,1,1
Klebsiella pneumoniae ,2015,1,5.0,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",16,44,36.36,0.3636,1.0,0.49999999999999994,0.8660254037844387,winter,3,5,201501,1,2
Klebsiella pneumoniae ,2015,1,5.0,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",6,44,13.64,0.1364,1.0,0.49999999999999994,0.8660254037844387,winter,3,5,201501,1,3
Klebsiella pneumoniae ,2015,1,5.0,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",4,44,9.09,0.0909,1.0,0.49999999999999994,0.8660254037844387,winter,3,5,201501,1,5
