organism_full,year,month,region,Resistant_Drug_Classes,pattern_count,total_rows_in_region_month,percentage,y_beta,month_numeric,sin_month,cos_month,season,season_id,region_id,year_month,time_id,mdr_id_numeric
Pseudomonas aeruginosa ,2016,1,13.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",3,6,50.0,0.5,1.0,0.49999999999999994,0.8660254037844387,winter,3,13,201601,1,3
Pseudomonas aeruginosa ,2016,1,13.0,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, Β-LACTAM COMBINATION AGENTS",1,6,16.67,0.16670000000000001,1.0,0.49999999999999994,0.8660254037844387,winter,3,13,201601,1,2
Pseudomonas aeruginosa ,2016,2,13.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, Β-LACTAM COMBINATION AGENTS",11,18,61.11,0.6111,2.0,0.8660254037844386,0.5000000000000001,winter,3,13,201602,2,1
Pseudomonas aeruginosa ,2016,2,13.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",5,18,27.78,0.2778,2.0,0.8660254037844386,0.5000000000000001,winter,3,13,201602,2,3
Pseudomonas aeruginosa ,2016,3,13.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, Β-LACTAM COMBINATION AGENTS",9,15,60.0,0.6,3.0,1.0,6.123233995736766e-17,summer,1,13,201603,3,1
Pseudomonas aeruginosa ,2016,3,13.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",3,15,20.0,0.2,3.0,1.0,6.123233995736766e-17,summer,1,13,201603,3,3
Pseudomonas aeruginosa ,2016,3,13.0,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, Β-LACTAM COMBINATION AGENTS",1,15,6.67,0.0667,3.0,1.0,6.123233995736766e-17,summer,1,13,201603,3,2
Pseudomonas aeruginosa ,2016,3,4.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, Β-LACTAM COMBINATION AGENTS",2,2,100.0,0.9999,3.0,1.0,6.123233995736766e-17,summer,1,4,201603,3,1
Pseudomonas aeruginosa ,2016,4,13.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, Β-LACTAM COMBINATION AGENTS",10,16,62.5,0.625,4.0,0.8660254037844388,-0.4999999999999998,summer,1,13,201604,4,1
Pseudomonas aeruginosa ,2016,4,13.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",4,16,25.0,0.25,4.0,0.8660254037844388,-0.4999999999999998,summer,1,13,201604,4,3
