organism_full,year,month,region,Resistant_Drug_Classes,pattern_count,total_rows_in_region_month,percentage,y_beta,month_numeric,sin_month,cos_month,season,season_id,region_id,year_month,time_id,mdr_id_numeric
Staphylococcus aureus,2017,1,10.0,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",2,5,40.0,0.4,1.0,0.49999999999999994,0.8660254037844387,winter,3,10,201701,1,5
Staphylococcus aureus,2017,1,10.0,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,5,40.0,0.4,1.0,0.49999999999999994,0.8660254037844387,winter,3,10,201701,1,4
Staphylococcus aureus,2017,2,10.0,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",2,2,100.0,0.9999,2.0,0.8660254037844386,0.5000000000000001,winter,3,10,201702,2,5
Staphylococcus aureus,2017,3,10.0,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",2,5,40.0,0.4,3.0,1.0,6.123233995736766e-17,summer,1,10,201703,3,5
Staphylococcus aureus,2017,3,10.0,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,5,20.0,0.2,3.0,1.0,6.123233995736766e-17,summer,1,10,201703,3,3
Staphylococcus aureus,2017,4,10.0,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",2,4,50.0,0.5,4.0,0.8660254037844388,-0.4999999999999998,summer,1,10,201704,4,3
Staphylococcus aureus,2017,6,10.0,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,4,25.0,0.25,6.0,1.2246467991473532e-16,-1.0,rainy,2,10,201706,5,5
Staphylococcus aureus,2017,6,10.0,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,4,25.0,0.25,6.0,1.2246467991473532e-16,-1.0,rainy,2,10,201706,5,3
Staphylococcus aureus,2017,7,10.0,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,5,20.0,0.2,7.0,-0.4999999999999998,-0.8660254037844388,rainy,2,10,201707,6,5
Staphylococcus aureus,2017,8,10.0,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",2,8,25.0,0.25,8.0,-0.8660254037844384,-0.5000000000000004,rainy,2,10,201708,7,3
Staphylococcus aureus,2017,8,10.0,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,8,12.5,0.125,8.0,-0.8660254037844384,-0.5000000000000004,rainy,2,10,201708,7,5
Staphylococcus aureus,2017,8,10.0,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,8,12.5,0.125,8.0,-0.8660254037844384,-0.5000000000000004,rainy,2,10,201708,7,4
Staphylococcus aureus,2017,10,10.0,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,8,12.5,0.125,10.0,-0.8660254037844386,0.5,winter,3,10,201710,8,3
Staphylococcus aureus,2017,10,11.0,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",2,5,40.0,0.4,10.0,-0.8660254037844386,0.5,winter,3,11,201710,8,3
Staphylococcus aureus,2017,10,11.0,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,5,20.0,0.2,10.0,-0.8660254037844386,0.5,winter,3,11,201710,8,5
Staphylococcus aureus,2017,10,11.0,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,5,20.0,0.2,10.0,-0.8660254037844386,0.5,winter,3,11,201710,8,4
Staphylococcus aureus,2017,11,10.0,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",3,8,37.5,0.375,11.0,-0.5000000000000004,0.8660254037844384,winter,3,10,201711,9,5
Staphylococcus aureus,2017,11,10.0,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,8,12.5,0.125,11.0,-0.5000000000000004,0.8660254037844384,winter,3,10,201711,9,3
Staphylococcus aureus,2017,11,11.0,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",2,2,100.0,0.9999,11.0,-0.5000000000000004,0.8660254037844384,winter,3,11,201711,9,3
Staphylococcus aureus,2017,12,10.0,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,2,50.0,0.5,12.0,-2.4492935982947064e-16,1.0,winter,3,10,201712,10,1
Staphylococcus aureus,2018,1,10.0,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,5,20.0,0.2,1.0,0.49999999999999994,0.8660254037844387,winter,3,10,201801,11,5
Staphylococcus aureus,2018,1,10.0,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,5,20.0,0.2,1.0,0.49999999999999994,0.8660254037844387,winter,3,10,201801,11,1
Staphylococcus aureus,2018,2,10.0,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,2,50.0,0.5,2.0,0.8660254037844386,0.5000000000000001,winter,3,10,201802,12,1
Staphylococcus aureus,2018,2,10.0,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,2,50.0,0.5,2.0,0.8660254037844386,0.5000000000000001,winter,3,10,201802,12,3
Staphylococcus aureus,2018,3,10.0,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",2,3,66.67,0.6667000000000001,3.0,1.0,6.123233995736766e-17,summer,1,10,201803,13,3
Staphylococcus aureus,2018,3,11.0,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,2,50.0,0.5,3.0,1.0,6.123233995736766e-17,summer,1,11,201803,13,4
Staphylococcus aureus,2018,4,10.0,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",2,13,15.38,0.15380000000000002,4.0,0.8660254037844388,-0.4999999999999998,summer,1,10,201804,14,5
Staphylococcus aureus,2018,4,10.0,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,13,7.69,0.07690000000000001,4.0,0.8660254037844388,-0.4999999999999998,summer,1,10,201804,14,1
Staphylococcus aureus,2018,4,10.0,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,13,7.69,0.07690000000000001,4.0,0.8660254037844388,-0.4999999999999998,summer,1,10,201804,14,3
Staphylococcus aureus,2018,4,11.0,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,3,33.33,0.3333,4.0,0.8660254037844388,-0.4999999999999998,summer,1,11,201804,14,4
Staphylococcus aureus,2018,5,10.0,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",2,6,33.33,0.3333,5.0,0.49999999999999994,-0.8660254037844387,summer,1,10,201805,15,5
Staphylococcus aureus,2018,5,10.0,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,6,16.67,0.16670000000000001,5.0,0.49999999999999994,-0.8660254037844387,summer,1,10,201805,15,3
Staphylococcus aureus,2018,5,11.0,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,5,20.0,0.2,5.0,0.49999999999999994,-0.8660254037844387,summer,1,11,201805,15,2
Staphylococcus aureus,2018,6,10.0,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,5,20.0,0.2,6.0,1.2246467991473532e-16,-1.0,rainy,2,10,201806,16,3
Staphylococcus aureus,2018,6,11.0,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,3,33.33,0.3333,6.0,1.2246467991473532e-16,-1.0,rainy,2,11,201806,16,3
Staphylococcus aureus,2018,7,10.0,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,7,14.29,0.1429,7.0,-0.4999999999999998,-0.8660254037844388,rainy,2,10,201807,17,5
Staphylococcus aureus,2018,7,11.0,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,3,33.33,0.3333,7.0,-0.4999999999999998,-0.8660254037844388,rainy,2,11,201807,17,2
Staphylococcus aureus,2018,8,10.0,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",2,6,33.33,0.3333,8.0,-0.8660254037844384,-0.5000000000000004,rainy,2,10,201808,18,5
Staphylococcus aureus,2018,8,10.0,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,6,16.67,0.16670000000000001,8.0,-0.8660254037844384,-0.5000000000000004,rainy,2,10,201808,18,1
Staphylococcus aureus,2018,8,11.0,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,4,50.0,0.5,8.0,-0.8660254037844384,-0.5000000000000004,rainy,2,11,201808,18,4
Staphylococcus aureus,2018,9,10.0,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,5,20.0,0.2,9.0,-1.0,-1.8369701987210297e-16,rainy,2,10,201809,19,5
Staphylococcus aureus,2018,9,10.0,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,5,20.0,0.2,9.0,-1.0,-1.8369701987210297e-16,rainy,2,10,201809,19,4
Staphylococcus aureus,2018,9,10.0,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,5,20.0,0.2,9.0,-1.0,-1.8369701987210297e-16,rainy,2,10,201809,19,3
Staphylococcus aureus,2018,9,11.0,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",2,4,50.0,0.5,9.0,-1.0,-1.8369701987210297e-16,rainy,2,11,201809,19,2
Staphylococcus aureus,2018,9,11.0,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,4,25.0,0.25,9.0,-1.0,-1.8369701987210297e-16,rainy,2,11,201809,19,5
Staphylococcus aureus,2018,9,6.0,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0,0.9999,9.0,-1.0,-1.8369701987210297e-16,rainy,2,6,201809,19,1
Staphylococcus aureus,2018,10,11.0,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0,0.9999,10.0,-0.8660254037844386,0.5,winter,3,11,201810,20,4
Staphylococcus aureus,2018,11,11.0,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",2,7,28.57,0.2857,11.0,-0.5000000000000004,0.8660254037844384,winter,3,11,201811,21,3
Staphylococcus aureus,2018,11,11.0,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,7,14.29,0.1429,11.0,-0.5000000000000004,0.8660254037844384,winter,3,11,201811,21,4
Staphylococcus aureus,2018,11,11.0,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,7,14.29,0.1429,11.0,-0.5000000000000004,0.8660254037844384,winter,3,11,201811,21,2
Staphylococcus aureus,2018,11,6.0,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,2,50.0,0.5,11.0,-0.5000000000000004,0.8660254037844384,winter,3,6,201811,21,4
Staphylococcus aureus,2018,12,10.0,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,2,50.0,0.5,12.0,-2.4492935982947064e-16,1.0,winter,3,10,201812,22,5
Staphylococcus aureus,2018,12,11.0,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,2,50.0,0.5,12.0,-2.4492935982947064e-16,1.0,winter,3,11,201812,22,1
Staphylococcus aureus,2018,12,11.0,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,2,50.0,0.5,12.0,-2.4492935982947064e-16,1.0,winter,3,11,201812,22,3
Staphylococcus aureus,2018,12,6.0,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,2,50.0,0.5,12.0,-2.4492935982947064e-16,1.0,winter,3,6,201812,22,2
Staphylococcus aureus,2019,1,10.0,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,2,50.0,0.5,1.0,0.49999999999999994,0.8660254037844387,winter,3,10,201901,23,1
Staphylococcus aureus,2019,1,3.0,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,1,100.0,0.9999,1.0,0.49999999999999994,0.8660254037844387,winter,3,3,201901,23,3
Staphylococcus aureus,2019,7,10.0,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,2,50.0,0.5,7.0,-0.4999999999999998,-0.8660254037844388,rainy,2,10,201907,24,1
Staphylococcus aureus,2019,7,10.0,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,2,50.0,0.5,7.0,-0.4999999999999998,-0.8660254037844388,rainy,2,10,201907,24,3
Staphylococcus aureus,2019,9,3.0,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",2,2,100.0,0.9999,9.0,-1.0,-1.8369701987210297e-16,rainy,2,3,201909,25,1
