Folder,File,Rows
C:\Users\MP1YXGGZ\Documents\GitHub\AMR_Thesis\MDR\model\All Data,acinetobacter_baumannii.csv,599
C:\Users\MP1YXGGZ\Documents\GitHub\AMR_Thesis\MDR\model\All Data,enterococcus_faecalis.csv,34
C:\Users\MP1YXGGZ\Documents\GitHub\AMR_Thesis\MDR\model\All Data,enterococcus_faecium.csv,31
C:\Users\MP1YXGGZ\Documents\GitHub\AMR_Thesis\MDR\model\All Data,escherichia_coli.csv,600
C:\Users\MP1YXGGZ\Documents\GitHub\AMR_Thesis\MDR\model\All Data,klebsiella_pneumoniae_.csv,600
C:\Users\MP1YXGGZ\Documents\GitHub\AMR_Thesis\MDR\model\All Data,pseudomonas_aeruginosa_.csv,408
C:\Users\MP1YXGGZ\Documents\GitHub\AMR_Thesis\MDR\model\All Data,staphylococcus_aureus.csv,291
C:\Users\MP1YXGGZ\Documents\GitHub\AMR_Thesis\MDR\model\By ward type,a_baumannii_icu.csv,572
C:\Users\MP1YXGGZ\Documents\GitHub\AMR_Thesis\MDR\model\By ward type,a_baumannii_in.csv,597
C:\Users\MP1YXGGZ\Documents\GitHub\AMR_Thesis\MDR\model\By ward type,a_baumannii_out.csv,493
C:\Users\MP1YXGGZ\Documents\GitHub\AMR_Thesis\MDR\model\By ward type,e_coli_icu.csv,594
C:\Users\MP1YXGGZ\Documents\GitHub\AMR_Thesis\MDR\model\By ward type,e_coli_in.csv,600
C:\Users\MP1YXGGZ\Documents\GitHub\AMR_Thesis\MDR\model\By ward type,e_coli_out.csv,600
C:\Users\MP1YXGGZ\Documents\GitHub\AMR_Thesis\MDR\model\By ward type,e_faecalis_icu.csv,3
C:\Users\MP1YXGGZ\Documents\GitHub\AMR_Thesis\MDR\model\By ward type,e_faecalis_in.csv,20
C:\Users\MP1YXGGZ\Documents\GitHub\AMR_Thesis\MDR\model\By ward type,e_faecalis_out.csv,5
C:\Users\MP1YXGGZ\Documents\GitHub\AMR_Thesis\MDR\model\By ward type,e_faecium_icu.csv,5
C:\Users\MP1YXGGZ\Documents\GitHub\AMR_Thesis\MDR\model\By ward type,e_faecium_in.csv,18
