index,x_hos_code,laboratory
1,1172200,MGH
2,1068500,SPK
3,1178100,LAB_03
4,1068700,PTH
5,1153900,TKS
6,1113300,DTL
10,1066200,CBR
12,1072700,PEB
14,1071100,NPM
15,1072600,PIJ
16,1072300,MSH
17,1074100,PUK
18,1070900,KRS
19,1072900,BAN
20,1073700,PCK
21,1378000,CMH
22,1068100,SRT
23,1071600,NAH
24,1073400,SKO
25,1072100,KPP
26,1066400,PPK
27,1066100,SRB
28,1225700,BAM
29,1067700,RAT
30,1071400,LPN
31,1071800,CKH
32,1067400,CRH
33,1497200,NUH
34,1072400,SKT
35,1126600,WIC
36,1072000,UTN
37,1069400,CHN
38,1067500,SPR
39,1067600,BUD
40,1068600,NKH
41,1069200,SBR
42,1069000,LBH
43,1068900,ATH
44,1067800,PYY
45,1073100,KJB
46,1067900,NKP
47,1073600,PBR
48,1073500,SSK
49,1132000,HUA
50,1069700,CPL
51,1069600,TRH
52,1066500,PRI
53,1070700,MKH
54,1070800,RAE
55,1070400,NBP
56,1070500,LUR
57,1071000,SKN
58,1066600,RSM
59,1097800,PKH
60,1066800,SRH
61,1071200,MUK
62,1070100,YAS
63,1070300,ANJ
64,1074400,CHH
65,1137900,LSH
66,1073900,PGN
67,1074000,TKP
68,1068400,YAL
69,1068200,HAT
70,1075000,NAR
71,1074800,PTN
72,1068000,NSI
73,1071300,NPH
74,1067200,LPA
75,1071900,SSW
76,1071500,PRH
77,1071700,PYO
78,1067300,UTD
79,1072500,SRI
80,1072200,TMH
81,1069800,NHL
82,1377800,THU
83,1066000,AYH
84,1066300,RYH
85,1069900,SKE
86,1067000,KKH
87,1377700,SNK
88,1067100,UDH
89,1070600,NKY
90,1104000,BKH
91,1066700,BRH
92,1089700,NAR
93,1070200,CPH
94,1066900,SAP
95,1070000,SSH
96,1074300,RAN
97,1073800,KRB
98,1074500,SKH
99,1377900,SKR
100,1074700,PAH
101,1068300,TRA
102,1074600,SAT
103,1160900,P2H
104,1148200,BHU
105,1160000,SLH
106,1378100,RAM
107,1153500,VAJ
108,1147000,NOP
109,1109500,WNH
110,1145000,SWD
111,1111900,CTH
112,1112500,FNG
113,1146900,LED
114,1101500,KPH
115,1144800,TBH
116,1075100,SKL
117,1074900,BTH
118,1089000,PNN
119,1099800,CHP
120,1144900,KCP
121,1144500,KNH
122,1148400,ANM
123,2406000,SUT
124,1243800,QSN
125,1136600,BNS
126,1413800,TRC
127,1136200,KRH
128,1130400,KTB
129,1100200,BPH
130,1138800,NTW
131,NIH,NIH
132,1153700,KLH
133,1075000,NRH
134,1069500,PTB
135,1073300,SOM
136,1112800,SPT
137,1462500,RMSC5
138,1461900,RMSC12
139,1378200,RMSC8
140,1378400,RMSC1
141,1147200,RVT
142,1113000,SAS
143,1073000,POT
144,1074200,KSM
145,1135700,KDH
146,1135800,DSH
147,1136000,CYH
148,1136100,TCN
149,1136300,BTK
150,1136400,PNH
151,1136500,TCH
152,1136700,BND
153,1136800,KSH
154,1136900,PSH
155,1137000,PPH
156,1137100,CBH
157,1145900,WSH
158,1122600,LAN
159,1122700,HKH
160,1122500,RAI
161,1072800,DAM
162,1126500,LOM
163,1099800,CHP
164,1144800,TBH
165,1148400,ANM
166,1097800,PKH
