province_name,province_english,province_lat,province_lon,province_zoom
กรุงเทพมหานคร,Bangkok,13.7278956,100.5241235,13
กระบี่,Krabi,8.0862997,98.9062835,13
กาญจนบุรี,Kanchanaburi,14.0227797,99.5328115,13
กาฬสินธุ์,Kalasin,16.4314078,103.5058755,13
กำแพงเพชร,Kamphaeng Phet,16.4827798,99.5226618,13
ขอนแก่น,Khon Kaen,16.4419355,102.8359921,13
จันทบุรี,Chanthaburi,12.61134,102.1038546,13
ฉะเชิงเทรา,Chachoengsao,13.6904194,101.0779596,13
ชลบุรี,Chonburi,13.3611431,100.9846717,13
ชัยนาท,Chai Nat,15.1851971,100.125125,13
ชัยภูมิ,Chaiyaphum,15.8068173,102.0315027,13
ชุมพร,Chumphon,10.4930496,99.1800199,13
เชียงราย,Chiang Rai,19.9071656,99.830955,13
เชียงใหม่,Chiang Mai,18.7877477,98.9931311,13
ตรัง,Trang,7.5593851,99.6110065,13
ตราด,Trat,12.2427563,102.5174734,13
ตาก,Tak,16.8839901,99.1258498,13
นครนายก,Nakhon Nayok,14.2069466,101.2130511,13
นครปฐม,Nakhon Pathom,13.8199206,100.0621676,13
นครพนม,Nakhon Phanom,17.392039,104.7695508,13
นครราชสีมา,Nakhon Ratchasima,14.9798997,102.0977693,13
นครศรีธรรมราช,Nakhon Si Thammarat,8.4303975,99.9631219,13
นครสวรรค์,Nakhon Sawan,15.6930072,100.1225595,13
นนทบุรี,Nonthaburi,13.8621125,100.5143528,13
นราธิวาส,Narathiwat,6.4254607,101.8253143,13
น่าน,Nan,18.7756318,100.7730417,13
บุรีรัมย์,Buriram,14.9930017,103.1029191,13
ปทุมธานี,Pathum Thani,14.0208391,100.5250276,13
ประจวบคีรีขันธ์,Prachuap Khiri Khan,11.812367,99.7973271,13
ปราจีนบุรี,Prachinburi,14.0509704,101.3727439,13
ปัตตานี,Pattani,6.8694844,101.2504826,13
พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.3532128,100.5689599,13
พะเยา,Phayao,19.1664789,99.9019419,13
พังงา,Phang Nga,8.4407456,98.5193032,13
พัทลุง,Phatthalung,7.6166823,100.0740231,13
พิจิตร,Phichit,16.4429516,100.3482329,13
พิษณุโลก,Phitsanulok,16.8298048,100.2614915,13
เพชรบุรี,Phetchaburi,13.1111601,99.9391307,13
เพชรบูรณ์,Phetchabun,16.4189807,101.1550926,13
แพร่,Phrae,18.1445774,100.1402831,13
ภูเก็ต,Phuket,7.9810496,98.3638824,13
มหาสารคาม,Maha Sarakham,16.1850896,103.3026461,13
มุกดาหาร,Mukdahan,16.542443,104.7209151,13
แม่ฮ่องสอน,Mae Hong Son,19.2990643,97.9656226,13
ยโสธร,Yasothon,15.792641,104.1452827,13
ยะลา,Yala,6.541147,101.2803947,13
ร้อยเอ็ด,Roi Et,16.0538196,103.6520036,13
ระนอง,Ranong,9.9528702,98.6084641,13
ระยอง,Rayong,12.6833115,101.2374295,13
ราชบุรี,Ratchaburi,13.5282893,99.8134211,13
ลพบุรี,Lopburi,14.7995081,100.6533706,13
ลำปาง,Lampang,18.2888404,99.490874,13
ลำพูน,Lamphun,18.5744606,99.0087221,13
เลย,Loei,17.4860232,101.7223002,13
ศรีสะเกษ,Sisaket (Si Sa Ket),15.1186009,104.3220095,13
สกลนคร,Sakon Nakhon,17.1545995,104.1348365,13
สงขลา,Songkhla,7.1756004,100.614347,13
สตูล,Satun,6.6238158,100.0673744,13
สมุทรปราการ,Samut Prakan,13.5990961,100.5998319,13
สมุทรสงคราม,Samut Songkhram,13.4098217,100.0022645,13
สมุทรสาคร,Samut Sakhon,13.5475216,100.2743956,13
สระแก้ว,Sa Kaeo,13.824038,102.0645839,13
สระบุรี,Saraburi,14.5289154,100.9101421,13
สิงห์บุรี,Sing Buri,14.8936253,100.3967314,13
สุโขทัย,Sukhothai,17.0055573,99.8263712,13
สุพรรณบุรี,Suphan Buri,14.4744892,100.1177128,13
สุราษฎร์ธานี,Surat Thani,9.1382389,99.3217483,13
สุรินทร์,Surin,14.882905,103.4937107,13
หนองคาย,Nong Khai,17.8782803,102.7412638,13
หนองบัวลำภู,Nong Bua Lamphu,17.2218247,102.4260368,13
อ่างทอง,Ang Thong,14.5896054,100.455052,13
อำนาจเจริญ,Amnat Charoen,15.8656783,104.6257774,13
อุดรธานี,Udon Thani,17.4138413,102.7872325,13
อุตรดิตถ์,Uttaradit,17.6200886,100.0992942,13
อุทัยธานี,Uthai Thani,15.3835001,100.0245527,13
อุบลราชธานี,Ubon Ratchathani,15.2286861,104.8564217,13
บึงกาฬ,Bueng Kan,18.3609104,103.6464463,13
