,เขตสุขภาพ,จังหวัด,โรงพยาบาล,,ศวก.ในพื้นที่,Sub-NRL,Code,
1,1,เชียงใหม่,โรงพยาบาลนครพิงค์,A,ศวก. 1 เชียงใหม่,ศวก. 1,NPH,
2,1,เชียงใหม่,โรงพยาบาลมหาราชนครเชียงใหม่,U,,,CMH,
3,1,เชียงใหม่,โรงพยาบาลจอมทอง,M1,,,CTH,
4,1,เชียงใหม่,โรงพยาบาลฝาง,M1,,,FNG,
5,1,เชียงใหม่,โรงพยาบาลสันทราย,M1,,,SAS,
6,1,เชียงใหม่,โรงพยาบาลสันป่าตอง,M1,,,SRT,
7,1,ลำปาง,โรงพยาบาลลำปาง,A,,,LPA,
8,1,แม่ฮ่องสอน,โรงพยาบาลศรีสังวาลย์,S,,,SSW,
9,1,ลำพูน,โรงพยาบาลลำพูน,S,,,LPN,
10,1,เชียงราย,โรงพยาบาลเชียงรายประชานุเคราะห์,A,ศวก. 1/1 เชียงราย,,CRH,
11,1,เชียงราย,โรงพยาบาลแม่จัน,M2,,,MAJ,
12,1,น่าน,โรงพยาบาลน่าน,S,,,NAH,
13,1,น่าน,โรงพยาบาลสมเด็จพระยุพราชปัว,M2,,,PUA,
14,1,พะเยา,โรงพยาบาลพะเยา,S,,,PYO,
15,1,พะเยา,โรงพยาบาลเชียงคำ,M1,,,CKH,
16,1,แพร่,โรงพยาบาลแพร่,S,,,PRH,
17,2,พิษณุโลก,โรงพยาบาลพุทธชินราช,A,ศวก. 2 พิษณุโลก,,BUD,
18,2,พิษณุโลก,โรงพยาบาลมหาวิทยาลัยนเรศวร,U,,,NUH,
19,2,เพชรบูรณ์,โรงพยาบาลเพชรบูรณ์,S,,,PEB,
20,2,เพชรบูรณ์,โรงพยาบาลวิเชียรบุรี,M1,,,WIC,
21,2,เพชรบูรณ์,โรงพยาบาลหล่มสัก,M1,,,LOM,
22,2,อุตรดิตถ์,โรงพยาบาลอุตรดิตถ์,A,,,UTD,
23,2,สุโขทัย,โรงพยาบาลสุโขทัย,S,,,SKT,
24,2,สุโขทัย,โรงพยาบาลศรีสังวรสุโขทัย,M1,,,SRI,
25,2,สุโขทัย,โรงพยาบาลสวรรคโลก,M2,,,SWL,
26,2,ตาก,โรงพยาบาลแม่สอด,S,,,MSH,
27,2,ตาก,โรงพยาบาลสมเด็จพระเจ้าตากสินมหาราช,S,,,TMH,
28,3,พิจิตร,โรงพยาบาลพิจิตร,S,ศวก. 3 นครสวรรค์,,PIJ,
