Organism,Code_Org
Acinetobacter baumannii,aba
Acinetobacter baumannii,aca
Acinetobacter baumannii,alw
Acinetobacter baumannii,abx
Acinetobacter baumannii,apt
Acinetobacter baumannii,ano
Acinetobacter spp.,aan
Acinetobacter spp.,aby
Acinetobacter spp.,aha
Acinetobacter spp.,ajo
Acinetobacter spp.,aju
Acinetobacter spp.,alw
Acinetobacter spp.,apa
Acinetobacter spp.,aro
Acinetobacter spp.,asd
Acinetobacter spp.,aug
Acinetobacter spp.,ac-
Aeromonas hydrophila,aeh
Burkholderia cepacia complex,bam
Burkholderia cepacia complex,bah
Burkholderia cepacia complex,bnc
Burkholderia cepacia complex,pce
Burkholderia cepacia complex,bcx
Burkholderia cepacia complex,bdo
Burkholderia cepacia complex,bmu
Burkholderia cepacia complex,bpy
Burkholderia cepacia complex,btb
Burkholderia cepacia complex,bub
Burkholderia cepacia complex,bvt
Burkholderia mallei,bma
Burkholderia pseudomallei,ppm
Citrobacter freundii,cfr
Enterobacter cloacae,ecl
Enterobacter spp.,eag
Enterobacter spp.,eam
Enterobacter spp.,ea1
Enterobacter spp.,ea2
Enterobacter spp.,eas
Enterobacter spp.,ecg
Enterobacter spp.,edi
Enterobacter spp.,egg
Enterobacter spp.,hal
Enterobacter spp.,ehm
Enterobacter spp.,ein
Enterobacter spp.,enp
Enterobacter spp.,esa
Enterobacter spp.,en-
Enterobacter spp.,ecg
Escherichia coli,eco
Escherichia coli,ead
Escherichia coli,k99
Escherichia coli,1k1
Escherichia coli,103
Escherichia coli,111
Escherichia coli,145
Escherichia coli,149
Escherichia coli,of4
Escherichia coli,157
Escherichia coli,o1k
Escherichia coli,2k2
Escherichia coli,o26
Escherichia coli,o2k
Escherichia coli,788
Escherichia coli,o78
Escherichia coli,eaa
Escherichia coli,eeh
Escherichia coli,eei
Escherichia coli,eep
Escherichia coli,eet
Haemophilus influenzae,hin
Haemophilus influenzae,hxt
Haemophilus influenzae,hxb
Haemophilus influenzae,hib
Klebsiella aerogenes,eae
Klebsiella oxytoca,kox
Klebsiella pneumoniae ,kpn
Klebsiella pneumoniae ,koz
